step,reward
1,0.5243
2,0.5156
3,0.5236
4,0.5590
5,0.5350
6,0.5409
7,0.5410
8,0.5636
9,0.5511
10,0.5450
11,0.5737
12,0.5908
13,0.5332
14,0.5732
15,0.5871
16,0.5857
17,0.5692
18,0.5923
19,0.5629
20,0.5958
21,0.5784
22,0.5892
23,0.6007
24,0.6130
25,0.5832
26,0.5734
27,0.6131
28,0.6007
29,0.6106
30,0.6032
31,0.6173
32,0.5947
33,0.6497
34,0.6250
35,0.6257
36,0.6296
37,0.6300
38,0.6303
39,0.6332
40,0.6336
41,0.6673
42,0.6257
43,0.6182
44,0.5915
45,0.6380
46,0.6025
47,0.6200
48,0.6082
49,0.6067
50,0.5936
